,inventory_id,film_id,rental_duration,rental_rate,length,replacement_cost,rating,category,store_id,rental_id,rental_date,customer_id,amount,active,date,time,month,day
0,3419,749,6,4.99,153,19.99,0.0,0.0,1,1520,0.0,341,7.99,1,0.0,0.0,6,24
1,2512,552,5,0.99,130,15.99,0.0,0.0,2,1778,0.0,341,1.99,1,0.0,0.0,6,22
2,2507,551,3,4.99,138,9.99,0.0,0.0,1,1849,0.0,341,7.99,1,0.0,0.0,6,23
3,2047,445,5,2.99,100,11.99,1.0,0.0,1,2829,0.0,341,2.99,1,0.0,0.0,6,24
4,2569,563,6,4.99,165,16.99,0.0,0.0,1,3130,0.0,341,7.99,1,0.0,0.0,6,29
5,131,26,3,0.99,86,15.99,1.0,0.0,1,3382,0.0,341,5.99,1,0.0,0.0,6,29
6,4398,961,7,4.99,161,22.99,0.0,0.0,2,2190,0.0,342,5.99,1,0.0,0.0,6,26
7,2419,527,4,4.99,85,24.99,0.0,0.0,2,2914,0.0,342,5.99,1,0.0,0.0,6,25
8,2071,449,4,2.99,119,12.99,0.0,0.0,2,3081,0.0,342,2.99,1,0.0,0.0,6,24
9,2909,639,7,4.99,92,9.99,0.0,0.0,2,1547,0.0,343,4.99,1,0.0,0.0,6,19
10,145,30,4,2.99,82,27.99,0.0,0.0,1,1564,0.0,343,6.99,1,0.0,0.0,6,24
11,3983,868,5,0.99,114,27.99,0.0,0.0,1,1879,0.0,343,0.99,1,0.0,0.0,6,19
12,2484,545,4,0.99,178,14.99,0.0,0.0,1,1922,0.0,343,0.99,1,0.0,0.0,6,18
13,78,16,6,2.99,180,23.99,0.0,0.0,1,2461,0.0,343,6.99,1,0.0,0.0,6,28
14,310,69,3,2.99,85,21.99,0.0,0.0,2,2980,0.0,343,8.99,1,0.0,0.0,6,29
15,3919,855,7,0.99,132,28.99,0.0,0.0,2,3407,0.0,343,0.99,1,0.0,0.0,6,24
16,3363,738,3,0.99,178,27.99,0.0,0.0,1,1341,0.0,344,3.99,1,0.0,0.0,6,21
17,1834,398,5,4.99,47,21.99,0.0,0.0,2,1475,0.0,344,4.99,1,0.0,0.0,6,18
18,3698,809,5,0.99,156,14.99,0.0,0.0,2,1731,0.0,344,0.99,1,0.0,0.0,6,19
19,7,1,6,0.99,86,20.99,0.0,0.0,2,1210,0.0,345,0.99,1,0.0,0.0,6,20
20,730,159,5,4.99,58,12.99,0.0,0.0,2,1457,0.0,345,4.99,1,0.0,0.0,6,19
21,2003,436,4,0.99,122,14.99,0.0,0.0,2,1550,0.0,345,0.99,1,0.0,0.0,6,18
22,3421,749,6,4.99,153,19.99,0.0,0.0,2,2766,0.0,345,4.99,1,0.0,0.0,6,23
23,2203,476,5,2.99,130,9.99,0.0,0.0,2,1994,0.0,346,5.99,1,0.0,0.0,6,25
24,4169,906,4,0.99,171,27.99,0.0,0.0,2,3372,0.0,346,2.99,1,0.0,0.0,6,27
25,3930,857,3,2.99,144,24.99,0.0,0.0,1,3421,0.0,346,2.99,1,0.0,0.0,6,24
26,273,61,5,4.99,175,28.99,1.0,0.0,1,1711,0.0,347,8.99,1,0.0,0.0,6,25
27,3021,663,7,0.99,99,29.99,0.0,0.0,2,2274,0.0,347,0.99,1,0.0,0.0,6,21
28,4032,878,3,4.99,74,25.99,1.0,0.0,2,3026,0.0,347,4.99,1,0.0,0.0,6,21
29,4344,946,3,4.99,144,14.99,0.0,0.0,2,3092,0.0,347,8.99,1,0.0,0.0,6,27
30,1025,229,6,4.99,87,12.99,0.0,1.0,2,3326,0.0,347,7.99,1,0.0,0.0,6,30
31,1039,232,7,2.99,147,29.99,0.0,0.0,1,1654,0.0,348,2.99,1,0.0,0.0,6,20
32,782,170,5,4.99,120,28.99,0.0,0.0,2,2041,0.0,348,8.99,1,0.0,0.0,6,26
33,3172,697,7,0.99,53,16.99,1.0,1.0,1,2499,0.0,348,0.99,1,0.0,0.0,6,20
34,3812,835,6,2.99,112,13.99,0.0,0.0,1,1197,0.0,349,2.99,1,0.0,0.0,6,20
35,681,149,7,0.99,150,21.99,0.0,0.0,2,1523,0.0,349,0.99,1,0.0,0.0,6,17
36,1531,334,6,4.99,65,21.99,0.0,0.0,2,2987,0.0,349,6.99,1,0.0,0.0,6,28
37,3094,680,4,4.99,103,21.99,0.0,0.0,2,3067,0.0,349,8.99,1,0.0,0.0,6,28
38,734,160,4,0.99,65,12.99,0.0,0.0,2,2011,0.0,350,3.99,1,0.0,0.0,6,24
39,1848,402,3,0.99,52,15.99,1.0,0.0,2,2619,0.0,350,0.99,1,0.0,0.0,6,21
40,2135,462,5,2.99,78,17.99,0.0,0.0,1,3079,0.0,350,2.99,1,0.0,0.0,6,21
41,2196,475,6,0.99,135,29.99,1.0,0.0,2,3206,0.0,350,0.99,1,0.0,0.0,6,22
42,3800,832,5,0.99,175,16.99,0.0,0.0,1,1792,0.0,351,5.99,1,0.0,0.0,6,26
43,871,191,6,0.99,143,27.99,0.0,0.0,2,1869,0.0,351,0.99,1,0.0,0.0,6,19
44,687,150,7,2.99,101,9.99,0.0,0.0,2,2759,0.0,351,2.99,1,0.0,0.0,6,24
45,3690,807,4,0.99,87,25.99,0.0,0.0,1,1498,0.0,352,0.99,1,0.0,0.0,6,17
46,390,86,6,4.99,121,11.99,0.0,0.0,1,1649,0.0,352,4.99,1,0.0,0.0,6,18
47,1856,403,5,4.99,121,18.99,0.0,0.0,2,1678,0.0,352,4.99,1,0.0,0.0,6,19
48,146,31,5,4.99,92,16.99,0.0,0.0,1,1780,0.0,352,4.99,1,0.0,0.0,6,19
49,2913,640,5,4.99,102,21.99,0.0,0.0,2,3331,0.0,352,4.99,1,0.0,0.0,6,26
50,3140,690,7,2.99,185,25.99,0.0,0.0,1,1359,0.0,353,2.99,1,0.0,0.0,6,17
51,3454,757,4,2.99,106,28.99,1.0,0.0,2,1928,0.0,353,7.99,1,0.0,0.0,6,26
52,3542,774,3,2.99,182,22.99,0.0,0.0,1,3233,0.0,353,6.99,1,0.0,0.0,6,28
53,848,186,6,0.99,64,17.99,0.0,0.0,1,1491,0.0,354,0.99,1,0.0,0.0,6,20
54,2805,616,4,2.99,92,19.99,0.0,0.0,1,2275,0.0,354,4.99,1,0.0,0.0,6,24
55,1222,271,5,4.99,148,12.99,1.0,1.0,1,2769,0.0,354,6.99,1,0.0,0.0,6,26
56,3474,761,7,2.99,154,23.99,0.0,0.0,2,3139,0.0,354,2.99,1,0.0,0.0,6,23
57,1081,241,4,0.99,125,20.99,0.0,0.0,1,1488,0.0,355,0.99,1,0.0,0.0,6,16
58,3025,664,6,2.99,65,12.99,0.0,1.0,2,1612,0.0,355,2.99,1,0.0,0.0,6,19
59,809,176,6,0.99,87,21.99,0.0,0.0,1,1410,0.0,356,0.99,1,0.0,0.0,6,21
60,3604,788,5,2.99,104,15.99,0.0,0.0,1,2405,0.0,356,2.99,1,0.0,0.0,6,21
61,937,207,7,4.99,121,26.99,0.0,0.0,1,2433,0.0,356,4.99,1,0.0,0.0,6,23
62,431,95,5,4.99,123,18.99,1.0,0.0,2,1246,0.0,357,5.99,1,0.0,0.0,6,21
63,3794,831,5,0.99,138,20.99,0.0,0.0,1,1788,0.0,357,1.99,1,0.0,0.0,6,22
64,2870,629,7,0.99,128,9.99,0.0,0.0,2,1971,0.0,357,1.99,1,0.0,0.0,6,25
65,2440,532,5,4.99,80,28.99,0.0,0.0,2,2153,0.0,357,6.99,1,0.0,0.0,6,24
66,2194,474,6,2.99,174,21.99,0.0,0.0,2,1455,0.0,358,2.99,1,0.0,0.0,6,18
67,399,89,7,0.99,63,22.99,1.0,0.0,1,1908,0.0,358,0.99,1,0.0,0.0,6,19
68,3541,774,3,2.99,182,22.99,0.0,0.0,1,2114,0.0,358,5.99,1,0.0,0.0,6,23
69,3786,829,7,2.99,138,12.99,0.0,0.0,1,2721,0.0,358,2.99,1,0.0,0.0,6,21
70,1540,337,6,2.99,73,11.99,0.0,0.0,1,2749,0.0,358,2.99,1,0.0,0.0,6,25
71,2057,447,5,2.99,131,28.99,0.0,0.0,1,3245,0.0,358,2.99,1,0.0,0.0,6,25
72,1154,255,6,4.99,175,21.99,0.0,0.0,1,1329,0.0,359,4.99,1,0.0,0.0,6,17
73,1681,367,6,0.99,153,20.99,0.0,0.0,1,1770,0.0,359,1.99,1,0.0,0.0,6,23
74,85,17,3,0.99,82,14.99,0.0,0.0,2,2401,0.0,359,0.99,1,0.0,0.0,6,19
75,4510,985,4,4.99,111,19.99,0.0,0.0,1,2736,0.0,359,4.99,1,0.0,0.0,6,21
76,4148,901,3,0.99,142,29.99,1.0,0.0,1,1492,0.0,360,0.99,1,0.0,0.0,6,17
77,2833,621,5,2.99,75,23.99,0.0,0.0,2,2402,0.0,360,6.99,1,0.0,0.0,6,27
78,129,25,3,2.99,74,15.99,1.0,0.0,2,2541,0.0,360,3.99,1,0.0,0.0,6,23
79,1513,330,7,4.99,112,22.99,0.0,0.0,2,2780,0.0,360,6.99,1,0.0,0.0,6,28
80,3223,708,4,4.99,112,19.99,0.0,0.0,1,2353,0.0,361,4.99,1,0.0,0.0,6,19
81,2920,641,4,0.99,76,21.99,0.0,0.0,2,2558,0.0,361,1.99,1,0.0,0.0,6,24
82,2168,468,5,2.99,97,12.99,0.0,0.0,1,2851,0.0,361,2.99,1,0.0,0.0,6,22
83,1565,344,3,0.99,178,28.99,0.0,0.0,1,3303,0.0,361,2.99,1,0.0,0.0,6,26
84,4116,895,3,2.99,142,21.99,0.0,0.0,1,1429,0.0,362,2.99,1,0.0,0.0,6,18
85,1688,368,7,2.99,84,20.99,0.0,0.0,1,1529,0.0,362,2.99,1,0.0,0.0,6,22
86,3894,850,7,0.99,163,27.99,0.0,1.0,2,1615,0.0,362,2.99,1,0.0,0.0,6,25
87,1811,393,6,2.99,47,19.99,0.0,0.0,1,3197,0.0,362,2.99,1,0.0,0.0,6,23
88,1631,356,5,2.99,102,10.99,0.0,0.0,2,3393,0.0,362,2.99,1,0.0,0.0,6,25
89,4412,964,4,4.99,61,17.99,1.0,1.0,2,1426,0.0,363,4.99,1,0.0,0.0,6,18
90,3927,856,5,4.99,73,11.99,0.0,0.0,2,1569,0.0,363,4.99,1,0.0,0.0,6,18
91,1189,265,5,4.99,168,28.99,0.0,0.0,1,1847,0.0,363,4.99,1,0.0,0.0,6,20
92,4305,938,3,4.99,173,14.99,0.0,0.0,1,2540,0.0,363,4.99,1,0.0,0.0,6,20
93,4006,872,3,2.99,185,27.99,0.0,0.0,2,3281,0.0,363,2.99,1,0.0,0.0,6,24
94,2142,463,4,2.99,116,21.99,0.0,0.0,2,1722,0.0,364,2.99,1,0.0,0.0,6,19
95,4045,880,6,2.99,152,9.99,0.0,0.0,2,2442,0.0,364,2.99,1,0.0,0.0,6,22
96,4133,898,4,4.99,152,18.99,0.0,0.0,1,2606,0.0,364,4.99,1,0.0,0.0,6,21
97,2886,633,6,4.99,54,10.99,0.0,0.0,2,2857,0.0,364,4.99,1,0.0,0.0,6,25
98,2978,652,3,0.99,126,14.99,0.0,0.0,1,2962,0.0,364,3.99,1,0.0,0.0,6,26
99,2001,436,4,0.99,122,14.99,0.0,0.0,1,1303,0.0,365,1.99,1,0.0,0.0,6,20
100,3397,745,5,4.99,162,23.99,0.0,0.0,2,1578,0.0,365,6.99,1,0.0,0.0,6,23
101,1955,426,7,4.99,185,15.99,0.0,0.0,2,1983,0.0,365,4.99,1,0.0,0.0,6,24
102,1307,288,7,2.99,167,20.99,0.0,0.0,2,2525,0.0,365,2.99,1,0.0,0.0,6,24
103,2217,479,7,0.99,128,12.99,0.0,0.0,2,3156,0.0,365,0.99,1,0.0,0.0,6,21
104,4081,890,5,0.99,172,14.99,0.0,0.0,1,1401,0.0,366,1.99,1,0.0,0.0,6,21
105,2430,531,3,0.99,137,18.99,0.0,0.0,1,2214,0.0,366,0.99,1,0.0,0.0,6,18
106,3642,795,7,0.99,111,23.99,0.0,0.0,1,3078,0.0,367,0.99,1,0.0,0.0,6,24
107,1556,341,5,0.99,82,13.99,0.0,0.0,2,1186,0.0,368,0.99,0,0.0,0.0,6,16
108,1173,260,3,4.99,132,9.99,1.0,0.0,2,1513,0.0,368,9.99,0,0.0,0.0,6,23
109,768,167,6,4.99,109,10.99,0.0,0.0,2,2531,0.0,368,4.99,0,0.0,0.0,6,22
110,380,84,7,4.99,102,13.99,0.0,0.0,1,2694,0.0,368,4.99,0,0.0,0.0,6,24
111,4511,985,4,4.99,111,19.99,0.0,0.0,1,2744,0.0,368,4.99,0,0.0,0.0,6,22
112,2320,504,5,0.99,46,25.99,0.0,0.0,1,3275,0.0,368,4.99,0,0.0,0.0,6,30
113,1572,345,3,0.99,161,17.99,0.0,0.0,1,1224,0.0,369,0.99,1,0.0,0.0,6,17
114,2572,563,6,4.99,165,16.99,0.0,0.0,1,1190,0.0,370,6.99,1,0.0,0.0,6,23
115,3611,789,7,2.99,79,15.99,0.0,0.0,1,1212,0.0,371,2.99,1,0.0,0.0,6,17
116,239,54,5,0.99,113,15.99,0.0,0.0,1,1218,0.0,371,1.99,1,0.0,0.0,6,21
